PLOT_BID,CROSS_GROUP,BREEDER_CODE,SOURCE,PEDIGREE,ORIGIN,CROSS_NAME,BARCODE,EL,FMATR,LNTH,MIC,SFC,STRN,UNIF,PLOT_BID1,SCW,LINT,FSW,LP,TRUN_OUT,BSW
P00000000879546252836468,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836468,8.3,86,1.204,4.54,6.5,39.7,85.8,P00000000879546252836468,64.5,22.4,40.6,35.56,34.73,31.3
P00000000879546252836469,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836469,6.7,87,1.177,4.68,6.3,33.7,84.3,P00000000879546252836469,90.7,34.9,53.2,39.61,38.48,44.3
P00000000879546252836470,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836470,6,86,1.416,4.23,4.3,34.4,86.5,P00000000879546252836470,107,36.6,67.4,35.19,34.21,54.9
P00000000879546252836471,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836471,7.8,85,1.277,4.01,5.9,34.6,86.2,P00000000879546252836471,91.5,31.3,58,35.05,34.21,50.6
P00000000879546252836472,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836472,8.3,84,1.276,4.03,6.2,34,85.5,P00000000879546252836472,67.9,23,44.1,34.28,33.87,33.6
P00000000879546252836473,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836473,8.9,85,1.248,4.54,6,35.7,87,P00000000879546252836473,111.3,40.4,68.2,37.2,36.3,52.7
P00000000879546252836474,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836474,7.2,89,1.164,5.53,6.5,34.1,86.1,P00000000879546252836474,106.4,40.6,63.5,39,38.16,51
P00000000879546252836475,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836475,8.8,84,1.23,4.15,7.3,31.9,85.4,P00000000879546252836475,129.5,50.1,78,39.11,38.69,63.3
P00000000879546252836476,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836476,7.2,85,1.285,3.96,5.8,36.5,85.8,P00000000879546252836476,91.8,31.8,57.5,35.61,34.64,47.4
P00000000879546252836477,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836477,9.2,85,1.284,4.62,5.6,34.2,85.9,P00000000879546252836477,106.1,40.6,64.3,38.7,38.27,51.1
P00000000879546252836478,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836478,7.7,86,1.291,4.56,5.1,39.2,87.3,P00000000879546252836478,119.1,42.5,74.9,36.2,35.68,61.3
P00000000879546252836479,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836479,9.2,85,1.276,4.48,6.1,33.6,86.3,P00000000879546252836479,106.3,37.3,67.4,35.63,35.09,54.3
P00000000879546252836480,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836480,5.3,88,1.323,4.82,4.8,33.5,85.4,P00000000879546252836480,103.3,35.9,65.7,35.33,34.75,53.3
P00000000879546252836481,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836481,5.7,85,1.327,3.67,4.9,36.7,85.6,P00000000879546252836481,117,41.1,73.2,35.96,35.13,57.3
P00000000879546252836482,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836482,5.5,87,1.316,4.32,4.9,30.7,85.6,P00000000879546252836482,77.4,26.1,49.7,34.43,33.72,40.1
